Name,Address,Zipcode,Zip,City,County,State,Country,Timezone,Area Code
Richardson Halsey and Associates Inc,5300 Memorial DriveSuite137Stone Mountain, GA 30083,30083,Stone Mountain,DeKalb,Georgia,US,America/New_York,"40,46,78,770"
CarePartners of Georgia Inc,243 West Main StreetSwainsboro, GA 30401,30401,Swainsboro,Emanuel,Georgia,US,America/New_York,"4,78,912"
Ogeechee Behavioral Health Services,223 North Anderson DriveSwainsboro, GA 30401,30401,Swainsboro,Emanuel,Georgia,US,America/New_York,"4,78,912"
Ogeechee Behavioral Health Services,302 East Ogeechee StreetSylvania, GA 30467,30467,Sylvania,Screven,Georgia,US,America/New_York,912
McIntosh Trail CSB,Upson County Counseling Center713 Andrews DriveThomaston, GA 30286,30286,Thomaston,Upson,Georgia,US,America/New_York,706
Archbold Northside Center for,Behavioral and Psychiatric Care401 Old Albany RoadThomasville, GA 31792,31792,Thomasville,Thomas,Georgia,US,America/New_York,229
Georgia Pines Comm MH/MR/SA Servs,1102 Smith AvenueThomasville, GA 31792,31792,Thomasville,Thomas,Georgia,US,America/New_York,229
Heritage Foundation Inc,330 Remington AvenueThomasville, GA 31792,31792,Thomasville,Thomas,Georgia,US,America/New_York,229
Vashti Center Inc,1815 East Clay StreetThomasville, GA 31792,31792,Thomasville,Thomas,Georgia,US,America/New_York,229
Serenity Behavioral Health Systems,McDuffie Behavioral Health Services306 Greenway StreetThomson, GA 30824,30824,Thomson,McDuffie,Georgia,US,America/New_York,706
BH Servs of South Georgia,Tift County Mental Health Center334 Tifton Eldorado RoadTifton, GA 31794,31794,Tifton,Tift,Georgia,US,America/New_York,229
Intervention and Prevention Servs Inc,128 1st Street EastSuite 226Tifton, GA 31794,31794,Tifton,Tift,Georgia,US,America/New_York,229
Pathway to Hope Counseling Servs Inc,1821 Old Ocilla RoadTifton, GA 31794,31794,Tifton,Tift,Georgia,US,America/New_York,229
Avita Community Partners,Toccoa Service Center5700 Fernside DriveToccoa, GA 30577,30577,Toccoa,Stephens,Georgia,US,America/New_York,706
Lookout Mountain Community Services,Trenton Outpatient Clinic12586 North Main StreetTrenton, GA 30752,30752,Trenton,Dade,Georgia,US,America/New_York,706
Alliance for Change,Through Treatment LLC3547 Habersham at Northlake RoadBuilding FTucker, GA 30084,30084,Tucker,DeKalb,Georgia,US,America/New_York,"67,87,70,404"
BH Servs of South Georgia,Lowndes County Mental Health3120 North Oak Street ExtensionSuite BValdosta, GA 31602,31602,Valdosta,Lowndes,Georgia,US,America/New_York,229
Behavioral Health Services of South GA,3120 North Oak Street ExtensionSuite CValdosta, GA 31602,31602,Valdosta,Lowndes,Georgia,US,America/New_York,229
Choices for Life of Georgia LLC,2200 North Patterson StreetValdosta, GA 31602,31602,Valdosta,Lowndes,Georgia,US,America/New_York,229
Greenleaf Center,2209 Pineview DriveValdosta, GA 31602,31602,Valdosta,Lowndes,Georgia,US,America/New_York,229
Greenleaf Counseling Center,2217 Pineview DriveValdosta, GA 31602,31602,Valdosta,Lowndes,Georgia,US,America/New_York,229
PeaceWay Counseling and,Mediation Services Inc2405 Bemiss RoadValdosta, GA 31602,31602,Valdosta,Lowndes,Georgia,US,America/New_York,229
Pineland Area MH/DD/AD/CSB,Toombs Csl Ctr Outpatient Clinic901 North Street WestVidalia, GA 30474,30474,Vidalia,Montgomery,Georgia,US,America/New_York,912
Tanner Medical Center,Willowbrooke at Tanner20 Herrell RoadVilla Rica, GA 30180,30180,Villa Rica,Carroll,Georgia,US,America/New_York,"7,70,678"
Dynamic Interventions Inc,524 South Houston Lake RoadSuite G-100Warner Robins, GA 31088,31088,Warner Robins,Houston,Georgia,US,America/New_York,478
Houston Medical Center,Behavioral Science and Psychiatry1601 Watson BoulevardWarner Robins, GA 31093,31093,Warner Robins,Houston,Georgia,US,America/New_York,478
Mayo Clinic Health System,Senior Behavioral Center1900 Tebeau StreetWaycross, GA 31501,31501,Waycross,Ware,Georgia,US,America/New_York,912
Unison Behavioral Health,Child and Adol Clinic in Ware Cnty1003 Mary StreetWaycross, GA 31501,31501,Waycross,Ware,Georgia,US,America/New_York,912
Unison Behavioral Health Services,1007 Mary StreetWaycross, GA 31503,31503,Waycross,Ware,Georgia,US,America/New_York,912
Unison Behavioral Health Services,Saint Illa Center3455 Harris RoadWaycross, GA 31503,31503,Waycross,Ware,Georgia,US,America/New_York,912
Ogeechee Behavioral Health Services,292 West 4th StreetWaynesboro, GA 30830,30830,Waynesboro,Burke,Georgia,US,America/New_York,706
Focus Counseling,203 Woodpark PlaceBuilding BWoodstock, GA 30188,30188,Woodstock,Cherokee,Georgia,US,America/New_York,"67,87,70,404"
Guam Behavioral Health and,Wellness Center790 Governor Carlos G Camacho RoadBarrigada, GU 96913,96913,Barrigada,Honolulu,#N/A,US,Pacific/Guam,671
VA Pacific Islands Healthcare System,VA Guam CBOC498 Chalan PalasyoHagatna, GU 96910,96910,Hagatna,Honolulu,#N/A,US,Pacific/Guam,671
North Shore Mental Health,Aiea Medical Building99-128 Aiea Heights DriveAiea, HI 96701,96701,Aiea,Honolulu,Hawaii,US,Pacific/Honolulu,808
Sutter Health Pacific,DBA Kahi Mohala Hospital91-2301 Old Fort Weaver RoadEwa Beach, HI 96706,96706,Ewa Beach,Honolulu,Hawaii,US,Pacific/Honolulu,808
Hawaii State/Dept of Health CAMHD,Hawaii FGC/Hilo Office88 Kanoelehua AvenueSuite A-204Hilo, HI 96720,96720,Hilo,Hawaii,Hawaii,US,Pacific/Honolulu,808
Hope Inc,120 Keawe StreetSuite 204Hilo, HI 96720,96720,Hilo,Hawaii,Hawaii,US,Pacific/Honolulu,808
VA Pacific Islands Healthcare System,VA Hilo CBOC1285 Waianuenue AvenueSuite 211Hilo, HI 96720,96720,Hilo,Hawaii,Hawaii,US,Pacific/Honolulu,808
North Hawaii Adult Mental Health Servs,Honokaa Clinic45-3380 Mamane StreetSuite 4Honokaa, HI 96727,96727,Honokaa,Hawaii,Hawaii,US,Pacific/Honolulu,808
Alakai Na Keiki,1100 Alakea Street9th FloorHonolulu, HI 96813,96813,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
CARE Hawaii Inc,CBCM Program875 Waimanu StreetSuite 600Honolulu, HI 96813,96813,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
Catholic Charities Hawaii,1822 Keeaumoku StreetHonolulu, HI 96822,96822,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
Kaiser Permanente Medical Center,3288 Moanalua RoadHonolulu, HI 96819,96819,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
North Shore Mental Health,Aloha United Way Building98-200 North Vineyard BoulevardSuite 510Honolulu, HI 96817,96817,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
North Shore Mental Health,Professional Office1110 University AvenueHonolulu, HI 96826,96826,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
Queens Counseling Services and Day Tre,The Queens Medical Center1374 Nuuanu AvenueHonolulu, HI 96817,96817,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
Queens Medical Center,Behavioral Health Center1301 Punchbowl StreetHonolulu, HI 96813,96813,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
West Honolulu Treatment Services Secti,1700 Lanakila AvenueHonolulu, HI 96817,96817,Honolulu,Honolulu,Hawaii,US,Pacific/Honolulu,808
North Shore Mental Health,56-117 Pualalea StreetKahuku, HI 96731,96731,Kahuku,Honolulu,Hawaii,US,Pacific/Honolulu,808
VA Pacific Islands Healthcare System,VA Maui CBOC203 Hoohana StreetSuite 303Kahului, HI 96732,96732,Kahului,Maui,Hawaii,US,Pacific/Honolulu,808
Castle Medical Center,640 Ulukahiki StreetKailua, HI 96734,96734,Kailua,Honolulu,Hawaii,US,Pacific/Honolulu,808
VA Pacific Islands Healthcare System,VA Kona CBOC75377 Hualalai RoadKailua Kona, HI 96740,96740,Kailua Kona,Hawaii,Hawaii,US,Pacific/Honolulu,808
Department of Health/CAMHD,Hawaii Family Guidance Center/Waimea65-1230 Mamalahoa HighwaySuite A-11Kamuela, HI 96743,96743,Kamuela,Hawaii,Hawaii,US,Pacific/Honolulu,808
North Hawaii Adult Mental Health Servs,Waimea Clinic67-5189 Kamamalu StreetKamuela, HI 96743,96743,Kamuela,Hawaii,Hawaii,US,Pacific/Honolulu,808
Marimed Foundation for Island,Healthcare Training45-021 Likeke PlaceKaneohe, HI 96744,96744,Kaneohe,Honolulu,Hawaii,US,Pacific/Honolulu,808
North Shore Mental Health,Castle Professional Medical Center46-001 Kamehameha HighwayKaneohe, HI 96744,96744,Kaneohe,Honolulu,Hawaii,US,Pacific/Honolulu,808
Friendship House,4-1751 Kuhio HighwayKapaa, HI 96746,96746,Kapaa,Kauai,Hawaii,US,Pacific/Honolulu,808
Samuel Mahelona Memorial Hospital,Behavioral Health Unit4800 Kawaihau RoadKapaa, HI 96746,96746,Kapaa,Kauai,Hawaii,US,Pacific/Honolulu,808
Department of Health CAMHD,Hawaii Family Guidance Center/Kona81-980 Halekii StreetSuite 101Kealakekua, HI 96750,96750,Kealakekua,Hawaii,Hawaii,US,Pacific/Honolulu,808
Department of Health CMHC,West Hawaii79-1020 Haukapila StreetRoom 202Kealakekua, HI 96750,96750,Kealakekua,Hawaii,Hawaii,US,Pacific/Honolulu,808
Kona Community Hospital,Behavioral Health Unit79-1019 Haukapila StreetKealakekua, HI 96750,96750,Kealakekua,Hawaii,Hawaii,US,Pacific/Honolulu,808
West Hawaii Community MH Ctr,Kau Adult Mental Health219-B Kaalaiki RoadNaalehu, HI 96772,96772,Naalehu,Hawaii,Hawaii,US,Pacific/Honolulu,808
Department of Health CMHC,Pearl City860 4th StreetPearl City, HI 96782,96782,Pearl City,Honolulu,Hawaii,US,Pacific/Honolulu,808
Department of Health CMHC,Wahiawa910 California AvenueWahiawa, HI 96786,96786,Wahiawa,Honolulu,Hawaii,US,Pacific/Honolulu,808
Hope Inc,634 Kilani AvenueSuite 2Wahiawa, HI 96786,96786,Wahiawa,Honolulu,Hawaii,US,Pacific/Honolulu,808
North Shore Mental Health,Wahiawa Medical Building302 California AvenueSuite 212Wahiawa, HI 96786,96786,Wahiawa,Honolulu,Hawaii,US,Pacific/Honolulu,808
F17 F42 F43 F47 F67 F70 SP,Wahiawa General Hospital128 Lehua StreetWahiawa, HI 96786,96786,Wahiawa,Honolulu,Hawaii,US,Pacific/Honolulu,808
Department of Health CMHC,Makaha84-1150 Farrington HighwayWaianae, HI 96792,96792,Waianae,Honolulu,Hawaii,US,Pacific/Honolulu,808
North Shore Mental Health,Makaha Cornet Building84-1170 Farington HighwayWaianae, HI 96792,96792,Waianae,Honolulu,Hawaii,US,Pacific/Honolulu,808
Maui Memorial Medical Center,Behavioral Health221 Mahalani StreetWailuku, HI 96793,96793,Wailuku,Maui,Hawaii,US,Pacific/Honolulu,808
Redford Counseling and Family Services,20 Hillcrest AvenueAmerican Falls, ID 83211,83211,American Falls,Power,Idaho,US,0,208
A to Z Family Services Inc,150 South Broadway StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
Family Pathways Cooperative,75 Lilac StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
Idaho State Hospital South,700 East Alice StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
J and M Mental Health Inc,60 North Broadway StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
Portneuf Valley Family Center Inc,1495 Parkway DriveSuite CBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
Redford Counseling and Family Services,490 North Maple StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
Region VII Mental Health Services,720 East Alice StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
Stillwaters Counseling,1309 Camas StreetBlackfoot, ID 83221,83221,Blackfoot,Bingham,Idaho,US,America/Boise,208
About Balance Mental Health LLC,6550 Emerald StreetSuite 108Boise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Access Behavioral Health Services,1276 River StreetSuite 100Boise, ID 83702,83702,Boise,Ada,Idaho,US,America/Boise,208
Affinity Inc,8100 West Emerald StreetSuite 150Boise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
All Seasons Mental Health,6933 West Emerald StreetBoise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
All Together Now Inc,2995 North Cole RoadSuite 270Boise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
F28 F43 F79 F151 SP,Boise VAMCMental Health Division500 West Fort StreetBoise, ID 83702,83702,Boise,Ada,Idaho,US,America/Boise,208
Community Outreach Counseling,2399 South Orchard StreetSuite 101Boise, ID 83705,83705,Boise,Ada,Idaho,US,America/Boise,208
Community Partnerships of Idaho Inc,3062 North Five Mile RoadBoise, ID 83713,83713,Boise,Ada,Idaho,US,America/Boise,208
Community Support Center,716 North Orchard StreetBoise, ID 83706,83706,Boise,Ada,Idaho,US,America/Boise,208
Human Supports of Idaho Inc,4477 West Emerald StreetSuite C-100Boise, ID 83706,83706,Boise,Ada,Idaho,US,America/Boise,208
Idaho Behavioral Health,Boise2293 South Vista AvenueSuite 190Boise, ID 83705,83705,Boise,Ada,Idaho,US,America/Boise,208
Intermountain Hospital,303 North Allumbaugh StreetBoise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Leyline Advocates,1525 South David LaneBoise, ID 83705,83705,Boise,Ada,Idaho,US,America/Boise,208
LifeMatters Counseling Services LLC,4696 West Overland RoadSuite 268Boise, ID 83705,83705,Boise,Ada,Idaho,US,America/Boise,208
Living Hope Clinic,3308 North Cole RoadSuite ABoise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Pioneer Health Resources,545 North Benjamin LaneSuite 185Boise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Real Solutions Counseling,1011 West Williams StreetSuite GBoise, ID 83706,83706,Boise,Ada,Idaho,US,America/Boise,208
Region IV Behavioral Health,1720 Westgate DriveSuite A-1Boise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Safe Haven Hospital of Treasure Valley,8050 West Northview StreetBoise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Saint Alphonsus Behavioral Hlth Servs,131 North Allumbaugh StreetBoise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Terry Reilly Health Services,Community Health Clinic408 North Allumbaugh RoadBoise, ID 83704,83704,Boise,Ada,Idaho,US,America/Boise,208
Terry Reilly Health Services,Community Health Clinics/Boise Clinic300 South 23rd StreetBoise, ID 83702,83702,Boise,Ada,Idaho,US,America/Boise,208
Tidwell Social Work Services and,Consulting Inc5999 West State StreetBoise, ID 83703,83703,Boise,Ada,Idaho,US,America/Boise,208
F69 F79 F92,Warm Springs Counseling Center740 Warm Springs AvenueBoise, ID 83712,83712,Boise,Ada,Idaho,US,America/Boise,208
Boulder Creek Academy,378 Emerson LaneBonners Ferry, ID 83805,83805,Bonners Ferry,Boundary,Idaho,US,America/Los_Angeles,208
A Plus Solutions Center LLC,531 E 5th StreetBurley, ID 83318,83318,Burley,Cassia,Idaho,US,America/Boise,208
IDHW Region 5,Burley2241 Overland AvenueBurley, ID 83318,83318,Burley,Cassia,Idaho,US,America/Boise,208
Pathways Inc,2311 Parke AvenueUnit 1 Suite 8Burley, ID 83318,83318,Burley,Cassia,Idaho,US,America/Boise,208
Preferred Child and Family Services,Burley2271 Overland AvenueSuite 5Burley, ID 83318,83318,Burley,Cassia,Idaho,US,America/Boise,208
ProActive Behavioral Health,2223 Overland SH CenterBurley, ID 83318,83318,Burley,Cassia,Idaho,US,America/Boise,208
Region V Mental Health Services,2241 Overland AvenueSuite 3Burley, ID 83318,83318,Burley,Cassia,Idaho,US,America/Boise,208
Boise VAMC,Caldwell Clinic4521 Thomas Jefferson StreetCaldwell, ID 83605,83605,Caldwell,Canyon,Idaho,US,America/Boise,208
Human Supports of Idaho Inc,314 Badiola StreetCaldwell, ID 83605,83605,Caldwell,Canyon,Idaho,US,America/Boise,208
IDHW Region 3,Caldwell3402 Franklin RoadCaldwell, ID 83605,83605,Caldwell,Canyon,Idaho,US,America/Boise,208
Recovery 4 Life,314 Badiola StreetCaldwell, ID 83605,83605,Caldwell,Canyon,Idaho,US,America/Boise,208
Terry Reilly Health Services,Community Health Clinic2005 Arlington AvenueCaldwell, ID 83605,83605,Caldwell,Canyon,Idaho,US,America/Boise,208
West Valley Medical Center,Behavioral Health1717 Arlington AvenueCaldwell, ID 83605,83605,Caldwell,Canyon,Idaho,US,America/Boise,208
Eagle Crest Life Services Inc,212 South 11th StreetSuite 3Coeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
IDHW Behavioral Health Region 1,2195 Ironwood CourtCoeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
Kootenai Behavioral Health,2003 Kootenai HealthwayCoeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
Mann Grandstaff VAMC BHS (116A),Coeur d Alene CBOC915 West Emma AvenueCoeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
Mental Wellness Clinic of,Coeur d Alene1105 West Ironwood DriveCoeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
Monarch Mental Health LLC,2115 East Sherman AvenueSuite 104Coeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
1200 West Ironwood Drive,Suite 101Coeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
Wellness Enhancement Ctr of Idaho Inc,Inc950 West Ironwood DriveSuite 2Coeur d Alene, ID 83814,83814,Coeur D Alene,Kootenai,Idaho,US,America/Los_Angeles,208
Adams County Behavioral Health Servs,Adams County Health Center205 Berkley AvenueCouncil, ID 83612,83612,Council,Adams,Idaho,US,America/Boise,208
Reddoor Rehabilitation Services Inc,85 South Main StreetDriggs, ID 83422,83422,Driggs,Teton,Idaho,US,America/Boise,"3,07,208"
Emmett Csl and Psychiatric Services,2007 East Quail Run RoadSuite 1Emmett, ID 83617,83617,Emmett,Gem,Idaho,US,America/Boise,208
Randi Korell,113 North Commercial StreetEmmett, ID 83617,83617,Emmett,Gem,Idaho,US,America/Boise,208
Redford Counseling and Family Services,83 Pima DriveFort Hall, ID 83203,83203,Fort Hall,Bingham,Idaho,US,America/Boise,208
Hollis Mental Health Services LLC,620 South Idaho AvenueFruitland, ID 83619,83619,Fruitland,Payette,Idaho,US,America/Boise,208
Treasure Valley Behavioral Health LLC,2303 North Whitley DriveFruitland, ID 83619,83619,Fruitland,Payette,Idaho,US,America/Boise,208
Project Patch Ranch,25 Miracle LaneGarden Valley, ID 83622,83622,Garden Valley,Boise,Idaho,US,America/Boise,208
ProActive Behavioral Health,215 University AvenueGooding, ID 83330,83330,Gooding,Gooding,Idaho,US,America/Boise,208
Camas Professional Counseling LLC,304 North State StreetGrangeville, ID 83530,83530,Grangeville,Idaho,Idaho,US,America/Los_Angeles,208
Region II Mental Health Center,216 South C StreetGrangeville, ID 83530,83530,Grangeville,Idaho,Idaho,US,America/Los_Angeles,208
Community Outreach Counseling,Greenleaf20535 Academy RoadGreenleaf, ID 83626,83626,Greenleaf,Canyon,Idaho,US,America/Boise,208
A to Z Family Services Inc,Idaho Falls380 North Capital AvenueIdaho Falls, ID 83402,83402,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Above and Beyond Counseling/PSR LLC,545 Shoup AvenueSuite 211Idaho Falls, ID 83402,83402,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Allstar Counseling Inc,550 2nd StreetSuite 292Idaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Beehive Rehabilitation and Counseling,320 B StreetSuite 110Idaho Falls, ID 83402,83402,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
CLUB Inc,620 South Woodruff AvenueIdaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Childrens Supportive Services,1565 East Lincoln RoadIdaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Community Mental Health Services,3480 Washington ParkwayIdaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Counseling Clinic at Youth,Renewal Services/Ashton Memorial Inc1301 East 17th StreetSuite 4Idaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Eastern Idaho Regional Medical Center,Behavioral Healthcare2280 East 25th StreetIdaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Family Resource Center,2647 East 14th NorthIdaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Free Spirit Counseling and Consulting,548 Lomax StreetIdaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Healthy Place Counseling,255 B StreetSuite 300Idaho Falls, ID 83402,83402,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Human Dynamics and Diagnostics,2267 Teton PlazaIdaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Joshua D Smith and Associates Inc,540 3rd StreetIdaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
New Dawn Counseling LLC,703 John Adams ParkwayIdaho Falls, ID 83401,83401,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Pearl Health Clinic,2705 East 17th StreetIdaho Falls, ID 83406,83406,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Pettingill Counseling Services PC,1272 South WoodniffIdaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Region VII Behavioral Health,Adult and Child Mental Health Services150 Shoup AvenueSuite 19Idaho Falls, ID 83402,83402,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Rehabilitative Health Services,1970 East 17th StreetSuite 202Idaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Snake River Counseling Services,2635 Channing WaySuite BIdaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Sullivan Mental Health Services LLC,1904 Jennie Lee DriveIdaho Falls, ID 83404,83404,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Tueller Counseling Inc,2275 West Broadway StreetSuite GIdaho Falls, ID 83402,83402,Idaho Falls,Bonneville,Idaho,US,America/Boise,208
Valley Community Counseling,Jerome215 West Yakima StreetSuite 4Jerome, ID 83338,83338,Jerome,Jerome,Idaho,US,America/Boise,208
Healthy Resolutions Kellogg,Connie C Hahn PhD135 McKinley AvenueSuite AKellogg, ID 83837,83837,Kellogg,Shoshone,Idaho,US,America/Los_Angeles,208
Idaho Department of Health and Welfare,35 Wildcat WaySuite BKellogg, ID 83837,83837,Kellogg,Shoshone,Idaho,US,America/Los_Angeles,208
Kuna Counseling Center,190 West Main StreetKuna, ID 83634,83634,Kuna,Ada,Idaho,US,America/Boise,208
Anderson Gallaher and Associates,450 Thain RoadSuite FLewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Jonathan M Wainwright VAMC,Lewiston CBOC1630 23rd AvenueBuilding 2 Suites 302 and 401Lewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Northwest Childrens Home,Residential Treatment Main Campus419 22nd AvenueLewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Region II Mental Health Center,1118 F StreetP.O. Box BLewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Saint Joseph Regional Medical Center,Mental Health Department415 6th StreetLewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Sequel Alliance Family Services LLC,504 Main StreetSuite 444Lewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Snake River Rehab Counseling Services,1002 Idaho StreetLewiston, ID 83501,83501,Lewiston,Nez Perce,Idaho,US,America/Los_Angeles,208
Rehabilitive Health Services,Mackay610 West Custer StreetSuite DMackay, ID 83251,83251,Mackay,Custer,Idaho,US,America/Boise,208
A to Z Family Services Inc,Malad City1st East 100 NorthMalad City, ID 83252,83252,Malad City,Oneida,Idaho,US,America/Boise,208
Access Living,690 South Industry WaySuite 45Meridian, ID 83642,83642,Meridian,Ada,Idaho,US,America/Boise,208
Community Outreach Counseling,Meridian3017 South Meridian RoadMeridian, ID 83642,83642,Meridian,Ada,Idaho,US,America/Boise,208
Family Counseling Services Inc,1799 North Lakes PlaceMeridian, ID 83646,83646,Meridian,Ada,Idaho,US,America/Boise,208
Bear Lake Memorial Hospital MH,822 Washington StreetMontpelier, ID 83254,83254,Montpelier,Bear Lake,Idaho,US,America/Boise,208
Alliance Family Services,North Moscow212 Rodeo DriveSuite 410Moscow, ID 83843,83843,Moscow,Latah,Idaho,US,America/Los_Angeles,"2,08,509"
Region II Mental Health Center,1350 Troy RoadSuite 2Moscow, ID 83843,83843,Moscow,Latah,Idaho,US,America/Los_Angeles,"2,08,509"
Scott Community Care PLLC,317 West 6th StreetSuite 208Moscow, ID 83843,83843,Moscow,Latah,Idaho,US,America/Los_Angeles,"2,08,509"
Weeks and Vietri,Counseling and Community Service818 South Washington StreetMoscow, ID 83843,83843,Moscow,Latah,Idaho,US,America/Los_Angeles,"2,08,509"
Idaho Behavioral Health,Moutain Home2420 American Legion BoulevardMountain Home, ID 83647,83647,Mountain Home,Elmore,Idaho,US,America/Boise,208
Acacia Wellness Center,217 West Georgia AvenueNampa, ID 83686,83686,Nampa,Canyon,Idaho,US,America/Boise,208
Access Behavioral Health Services,3307 Caldwell BoulevardSuites 103-104Nampa, ID 83651,83651,Nampa,Canyon,Idaho,US,America/Boise,208
Affinity Inc,232 2nd Street SouthNampa, ID 83651,83651,Nampa,Canyon,Idaho,US,America/Boise,208
Allied Mental Health Services PLLC,220 10th Avenue SouthNampa, ID 83651,83651,Nampa,Canyon,Idaho,US,America/Boise,208
Community Outreach Counseling,1031 West Sanetta StreetNampa, ID 83651,83651,Nampa,Canyon,Idaho,US,America/Boise,208
Life Counseling Center,123 North Yale StreetNampa, ID 83651,83651,Nampa,Canyon,Idaho,US,America/Boise,208
Montgomery Counseling Center,Phyllis Montgomery323 12th Avenue RoadNampa, ID 83686,83686,Nampa,Canyon,Idaho,US,America/Boise,208
Northwest Academy,139 Success LaneNaples, ID 83847,83847,Naples,Boundary,Idaho,US,America/Los_Angeles,208
A to Z Counseling,Orofino1275 Riverside AvenueP.O. Box 1124Orofino, ID 83544,83544,Orofino,Clearwater,Idaho,US,America/Los_Angeles,208
State Hospital North,300 Hospital DriveOrofino, ID 83544,83544,Orofino,Clearwater,Idaho,US,America/Los_Angeles,208
Emmett Csl and Psychiatric Servs,DBA Payette Counseling and Psych Servs501 North 16th StreetSuite 110Payette, ID 83661,83661,Payette,Payette,Idaho,US,America/Boise,208
IDHW Region 3,Payette515 North 16th StreetPayette, ID 83661,83661,Payette,Payette,Idaho,US,America/Boise,208
A to Z Family Services Inc,151 North 3rd StreetSuite 404Pocatello, ID 83201,83201,Pocatello,Bannock,Idaho,US,America/Boise,208
Access Point Family Services,5565 Yellowstone AvenuePocatello, ID 83202,83202,Pocatello,Bannock,Idaho,US,America/Boise,208
